company_id,flight_number,scheduled_departure_date_local,scheduled_arrival_station_code,scheduled_departure_datetime_local,fleet_type,load_factor,turn_time_pressure,transfer_bag_ratio,special_requests_count,difficulty_score,difficulty_class
UA,1156,2025-08-08,MSY,2025-08-08 19:55:00+00:00,B737-900,1.2011173184357542,6,0.5867768595041323,2.0,0.646826825781114,Medium
G7,4387,2025-08-06,CID,2025-08-06 09:20:00+00:00,CRJ-550,1.34,46,0.9047619047619048,0.0,0.7368117448987654,Difficult
UA,1361,2025-08-11,STL,2025-08-11 21:20:00+00:00,A319-100,1.0873015873015872,17,0.7244897959183674,2.0,0.6239322402295444,Medium
UA,2323,2025-08-03,MCO,2025-08-03 09:15:00+00:00,A321-2NX,1.485,35,0.15789473684210525,3.0,0.6861969410540691,Difficult
OO,5229,2025-08-13,ILM,2025-08-13 11:59:00+00:00,ERJ-175,0.8157894736842105,13,0.43478260869565216,0.0,0.5241141833356405,Easy
YX,3700,2025-08-02,BNA,2025-08-02 07:25:00+00:00,ERJ-175,1.0526315789473684,-29,0.52,1.0,0.5866869092180589,Easy
G7,4610,2025-08-15,XNA,2025-08-15 12:41:00+00:00,CRJ-550,1.04,30,0.6071428571428571,0.0,0.6544616803216977,Medium
UA,1414,2025-08-13,BOI,2025-08-13 08:45:00+00:00,A320-200,1.0533333333333332,13,0.44565217391304346,5.0,0.612664224618986,Medium
UA,1156,2025-08-13,MSY,2025-08-13 19:55:00+00:00,B737-MAX9,0.4022346368715084,17,0.4583333333333333,1.0,0.4688997242015203,Easy
UA,247,2025-08-13,OMA,2025-08-13 12:45:00+00:00,A320-200,0.76,23,0.5573770491803278,1.0,0.543349565571115,Easy
UA,2378,2025-08-08,LAX,2025-08-08 21:42:00+00:00,A321-2NX,1.19,15,0.6794871794871795,4.0,0.6864378345555007,Difficult
OO,5930,2025-08-14,FAR,2025-08-14 13:20:00+00:00,CRJ-200,1.06,176,0.44680851063829785,6.0,0.7029031136273741,Difficult
YX,3628,2025-08-11,IND,2025-08-11 17:50:00+00:00,ERJ-175,1.0,11,0.3230769230769231,2.0,0.5480980616536162,Easy
OO,5564,2025-08-01,SBN,2025-08-01 14:20:00+00:00,CRJ-550,1.1,28,0.9166666666666666,0.0,0.6843282631899681,Difficult
UA,2361,2025-08-13,LAX,2025-08-13 07:10:00+00:00,B757-300,0.6111111111111112,596,0.29411764705882354,0.0,0.4317316950503244,Easy
YX,3520,2025-08-05,CVG,2025-08-05 21:16:00+00:00,ERJ-175,0.9342105263157895,128,0.3870967741935484,1.0,0.571993013407732,Easy
G7,4546,2025-08-06,AVP,2025-08-06 18:35:00+00:00,CRJ-550,0.92,-34,0.7142857142857143,2.0,0.6650398402464512,Medium
OO,5362,2025-08-14,MKE,2025-08-14 21:40:00+00:00,CRJ-200,1.2,61,0.6909090909090909,3.0,0.7282570284678237,Difficult
OO,5251,2025-08-03,ASE,2025-08-03 19:35:00+00:00,ERJ-175,1.042857142857143,34,0.25862068965517243,3.0,0.635357646196736,Medium
G7,4429,2025-08-07,FSD,2025-08-07 15:52:00+00:00,CRJ-550,1.0,28,0.75,2.0,0.6772343506385972,Difficult
UA,1899,2025-08-01,YYC,2025-08-01 20:05:00+00:00,A319-100,1.4126984126984128,18,0.4044943820224719,7.0,0.7664112043475086,Difficult
UA,2137,2025-08-03,SLC,2025-08-03 09:02:00+00:00,B737-800,1.0843373493975903,17,0.5168539325842697,2.0,0.6610600980118868,Medium
UA,1576,2025-08-10,LGA,2025-08-10 20:00:00+00:00,B737-800,1.0240963855421688,29,0.26,2.0,0.6054511078828398,Medium
UA,2004,2025-08-11,SYR,2025-08-11 13:45:00+00:00,A320-200,1.14,38,0.6336633663366337,7.0,0.66832872403231,Medium
UA,343,2025-08-02,SFO,2025-08-02 10:53:00+00:00,A321-2NX,1.37,1017,0.265625,2.0,0.47511380313458296,Easy
UA,2370,2025-08-11,BOS,2025-08-11 14:28:00+00:00,B737-900,1.1229050279329609,23,0.42424242424242425,5.0,0.6149779954237079,Medium
UA,2189,2025-08-01,LGA,2025-08-01 13:00:00+00:00,B737-MAX8,1.1204819277108433,36,0.07936507936507936,1.0,0.5760135259142098,Easy
UA,481,2025-08-12,RNO,2025-08-12 19:52:00+00:00,B737-700,0.6111111111111112,52,0.6712328767123288,3.0,0.5920306009430972,Easy
UA,1209,2025-08-15,EWR,2025-08-15 21:25:00+00:00,B737-900,1.217877094972067,11,0.4262295081967213,4.0,0.7337263797777983,Difficult
UA,2177,2025-08-15,MSN,2025-08-15 14:00:00+00:00,A319-100,1.0952380952380953,-34,0.7558139534883721,2.0,0.726935333612521,Difficult
UA,909,2025-08-13,AMS,2025-08-13 18:15:00+00:00,B787-8,1.0781893004115226,185,0.5590909090909091,9.0,0.6622638074794752,Medium
UA,1584,2025-08-05,LAX,2025-08-05 10:50:00+00:00,A321-2NX,1.325,649,0.08176100628930817,1.0,0.5447785916309139,Easy
YX,3690,2025-08-13,IND,2025-08-13 15:40:00+00:00,ERJ-175,0.8947368421052632,23,0.6538461538461539,0.0,0.5714343219310226,Easy
YX,3542,2025-08-15,YUL,2025-08-15 17:58:00+00:00,ERJ-175,1.0921052631578947,11,0.5714285714285714,2.0,0.6961074688670398,Difficult
OO,4791,2025-08-14,SBN,2025-08-14 10:35:00+00:00,CRJ-550,1.18,27,0.46153846153846156,2.0,0.6779051113193559,Difficult
UA,2011,2025-08-11,YVR,2025-08-11 08:48:00+00:00,A320-200,1.08,7,0.49635036496350365,1.0,0.5791752248708437,Easy
UA,1946,2025-08-15,LGA,2025-08-15 15:00:00+00:00,B737-MAX8,1.180722891566265,54,0.1896551724137931,6.0,0.7253181781111687,Difficult
OO,5292,2025-08-02,MTY,2025-08-02 08:45:00+00:00,ERJ-175,1.144736842105263,714,0.13559322033898305,2.0,0.46137303818621034,Easy
UA,845,2025-08-12,GRU,2025-08-12 21:20:00+00:00,B787-10,0.8176100628930818,145,0.6835443037974683,12.0,0.7282405876841342,Difficult
YX,3525,2025-08-13,YYZ,2025-08-13 16:43:00+00:00,ERJ-175,1.1842105263157894,16,0.46808510638297873,1.0,0.5995549119286098,Medium
UA,2677,2025-08-06,IAD,2025-08-06 17:56:00+00:00,B757-200,0.9090909090909091,109,0.40789473684210525,1.0,0.5910059542076895,Easy
UA,767,2025-08-13,DEN,2025-08-13 21:32:00+00:00,A321-2NX,1.01,-40,0.6962025316455697,1.0,0.6106396167766938,Medium
OO,5026,2025-08-13,JST,2025-08-13 21:05:00+00:00,CRJ-200,1.06,11,0.3055555555555556,3.0,0.5725129635245049,Easy
OO,5493,2025-08-05,ATW,2025-08-05 11:05:00+00:00,CRJ-200,1.06,77,0.5094339622641509,0.0,0.6005275203751257,Medium
G7,4519,2025-08-06,SCE,2025-08-06 18:20:00+00:00,CRJ-550,0.86,41,0.8,0.0,0.6349305972994604,Medium
OO,4791,2025-08-04,SBN,2025-08-04 10:35:00+00:00,CRJ-550,0.9,27,0.5416666666666666,0.0,0.5905546592909812,Easy
UA,592,2025-08-03,JAC,2025-08-03 16:50:00+00:00,B737-700,1.2777777777777777,14,0.5714285714285714,1.0,0.6782560086335229,Difficult
G7,4590,2025-08-01,MDT,2025-08-01 16:45:00+00:00,CRJ-550,1.1,13,0.7307692307692307,1.0,0.6722263680790909,Medium
YX,3464,2025-08-13,PIT,2025-08-13 21:15:00+00:00,ERJ-175,1.0,103,0.5652173913043478,0.0,0.5697134112548976,Easy
OO,5963,2025-08-14,BDL,2025-08-14 14:09:00+00:00,ERJ-175,1.0571428571428572,25,0.5217391304347826,5.0,0.7078880995693237,Difficult
OO,5447,2025-08-10,PVD,2025-08-10 11:05:00+00:00,ERJ-175,0.9571428571428572,37,0.6739130434782609,0.0,0.6301716308296369,Medium
UA,1495,2025-08-05,TVC,2025-08-05 19:52:00+00:00,A320-200,0.49333333333333335,11,0.47619047619047616,0.0,0.5103080680003756,Easy
UA,2100,2025-08-08,SLC,2025-08-08 13:11:00+00:00,B737-800,1.1506024096385543,17,0.5363636363636364,2.0,0.6286602833047615,Medium
UA,2640,2025-08-05,DCA,2025-08-05 15:00:00+00:00,B737-700,0.46825396825396826,68,0.37037037037037035,2.0,0.5141690930152469,Easy
UA,224,2025-08-01,BZN,2025-08-01 09:04:00+00:00,B737-800,1.180722891566265,146,0.40310077519379844,3.0,0.6533237053224136,Medium
OO,5392,2025-08-15,OKC,2025-08-15 19:36:00+00:00,ERJ-175,0.9210526315789473,126,0.5833333333333334,0.0,0.6235662916152679,Medium
OO,5984,2025-08-05,BIL,2025-08-05 09:20:00+00:00,ERJ-175,1.3157894736842106,44,0.8205128205128205,3.0,0.7338279129777106,Difficult
OO,5737,2025-08-13,OMA,2025-08-13 21:12:00+00:00,ERJ-175,0.6578947368421053,13,0.84,1.0,0.5721642774959228,Easy
G7,4552,2025-08-03,DAY,2025-08-03 21:30:00+00:00,CRJ-550,0.88,45,1.0,1.0,0.681754406499778,Difficult
G7,4476,2025-08-07,CAE,2025-08-07 13:55:00+00:00,CRJ-550,1.1,81,0.17777777777777778,4.0,0.6318778482462024,Medium
G7,4482,2025-08-02,TUL,2025-08-02 15:35:00+00:00,CRJ-550,1.04,11,0.8260869565217391,0.0,0.6124324924359505,Medium
OO,5557,2025-08-12,OKC,2025-08-12 09:15:00+00:00,ERJ-175,1.0657894736842106,39,0.6428571428571429,1.0,0.652908561177387,Medium
UA,2683,2025-08-11,SAN,2025-08-11 14:06:00+00:00,B737-800,1.1325301204819278,44,0.23404255319148937,4.0,0.5765205367456294,Easy
OO,5557,2025-08-13,OKC,2025-08-13 09:15:00+00:00,ERJ-175,1.131578947368421,39,0.7719298245614035,0.0,0.6283435906623593,Medium
YX,3716,2025-08-13,CMH,2025-08-13 18:20:00+00:00,ERJ-175,1.105263157894737,13,0.6111111111111112,0.0,0.59998447309631,Medium
UA,1616,2025-08-04,GRR,2025-08-04 18:20:00+00:00,B737-900,0.8994413407821229,32,0.9175257731958762,5.0,0.7087915413386129,Difficult
YX,3440,2025-08-15,YYZ,2025-08-15 07:04:00+00:00,ERJ-175,0.9473684210526315,497,0.4186046511627907,2.0,0.6186354920807835,Medium
OO,5836,2025-08-10,TYS,2025-08-10 10:35:00+00:00,CRJ-550,1.06,16,0.48484848484848486,0.0,0.6183521512180747,Medium
OO,5493,2025-08-06,ATW,2025-08-06 11:05:00+00:00,CRJ-200,1.08,75,0.6326530612244898,0.0,0.6463047335467522,Medium
UA,1775,2025-08-10,FLL,2025-08-10 10:45:00+00:00,B737-MAX9,1.3743016759776536,19,0.27450980392156865,3.0,0.6765512603803009,Difficult
UA,2653,2025-08-05,RDU,2025-08-05 10:52:00+00:00,B737-MAX9,1.0446927374301676,13,0.4423076923076923,3.0,0.6362726104292499,Medium
G7,4552,2025-08-15,DAY,2025-08-15 21:30:00+00:00,CRJ-550,0.82,50,0.8888888888888888,0.0,0.655276643160676,Medium
UA,1599,2025-08-11,DEN,2025-08-11 08:45:00+00:00,B777-2HD,1.1868131868131868,93,0.21311475409836064,5.0,0.5894228722247121,Easy
UA,2666,2025-08-07,DEN,2025-08-07 05:00:00+00:00,A321-2NX,1.18,408,0.3793103448275862,3.0,0.6388690986638238,Medium
YX,3536,2025-08-11,YUL,2025-08-11 07:15:00+00:00,ERJ-175,0.881578947368421,693,0.6530612244897959,2.0,0.5204210880871067,Easy
YX,3409,2025-08-07,YOW,2025-08-07 13:56:00+00:00,ERJ-175,1.0921052631578947,8,0.46296296296296297,1.0,0.6386318538156125,Medium
G7,4590,2025-08-14,MDT,2025-08-14 16:45:00+00:00,CRJ-550,1.2,-49,0.3409090909090909,2.0,0.6676947936729157,Medium
UA,763,2025-08-01,PWM,2025-08-01 10:58:00+00:00,B737-800,1.3975903614457832,28,0.27450980392156865,5.0,0.7145461206575102,Difficult
UA,2195,2025-08-08,BDL,2025-08-08 11:06:00+00:00,B737-800,0.9397590361445783,12,0.5245901639344263,0.0,0.5604633252958645,Easy
UA,1989,2025-08-12,BOS,2025-08-12 18:20:00+00:00,B737-900,0.9608938547486033,14,0.6904761904761905,0.0,0.6302904103281023,Medium
OO,5930,2025-08-10,FAR,2025-08-10 13:20:00+00:00,CRJ-200,0.98,78,0.3404255319148936,0.0,0.5832855353791588,Easy
UA,1793,2025-08-12,MSP,2025-08-12 08:50:00+00:00,A320-200,0.8933333333333333,32,0.30303030303030304,0.0,0.5583303996223602,Easy
UA,2677,2025-08-05,IAD,2025-08-05 17:56:00+00:00,B757-200,1.1590909090909092,124,0.31788079470198677,2.0,0.6122729770653866,Medium
OO,5521,2025-08-01,ATW,2025-08-01 15:35:00+00:00,CRJ-200,0.94,-57,0.375,1.0,0.5962155057727667,Easy
UA,2487,2025-08-15,PHL,2025-08-15 21:23:00+00:00,B737-900,0.553072625698324,-53,0.6326530612244898,2.0,0.6102597012774164,Medium
YX,3614,2025-08-09,MCI,2025-08-09 21:25:00+00:00,ERJ-175,1.3026315789473684,61,0.9090909090909091,0.0,0.6944636064414337,Difficult
YX,3708,2025-08-15,BNA,2025-08-15 12:45:00+00:00,ERJ-170,1.0,6,0.10810810810810811,3.0,0.6282105971417957,Medium
UA,1657,2025-08-08,LGA,2025-08-08 07:00:00+00:00,B737-800,1.144578313253012,784,0.10144927536231885,1.0,0.45739616631930385,Easy
OO,5915,2025-08-10,LNK,2025-08-10 16:50:00+00:00,CRJ-200,1.12,14,0.3125,1.0,0.6153607809313208,Medium
OO,5790,2025-08-01,CRW,2025-08-01 18:20:00+00:00,CRJ-200,1.08,-36,0.5869565217391305,2.0,0.666126457366787,Medium
UA,2427,2025-08-12,CVG,2025-08-12 18:10:00+00:00,B737-700,0.6984126984126984,36,0.7631578947368421,1.0,0.6010953688077864,Medium
UA,265,2025-08-15,YYZ,2025-08-15 17:55:00+00:00,A319-100,0.8650793650793651,17,0.52,2.0,0.6464671778508707,Medium
UA,1996,2025-08-08,SJU,2025-08-08 08:49:00+00:00,A321-2NX,1.115,136,0.35537190082644626,7.0,0.6521317360531295,Medium
OO,5229,2025-08-14,ILM,2025-08-14 11:59:00+00:00,ERJ-175,1.0,5,0.6046511627906976,1.0,0.6540729336035093,Medium
UA,1361,2025-08-13,STL,2025-08-13 21:20:00+00:00,A319-100,1.0873015873015872,26,0.7282608695652174,2.0,0.6339319271505279,Medium
UA,1030,2025-08-09,ABQ,2025-08-09 19:35:00+00:00,A319-100,1.0555555555555556,35,0.6857142857142857,2.0,0.6407778848833934,Medium
OO,5020,2025-08-03,FOD,2025-08-03 12:30:00+00:00,CRJ-200,0.6,31,0.5384615384615384,0.0,0.5513702858729275,Easy
YX,3718,2025-08-10,MSN,2025-08-10 09:02:00+00:00,ERJ-175,1.0,24,0.8596491228070176,1.0,0.6783072501626802,Difficult
OO,5538,2025-08-09,HSV,2025-08-09 18:25:00+00:00,CRJ-550,0.4,65,0.7272727272727273,3.0,0.559257423513359,Easy
UA,1778,2025-08-10,OMA,2025-08-10 08:45:00+00:00,A319-100,1.1428571428571428,19,0.4305555555555556,0.0,0.6232973780672806,Medium
UA,2137,2025-08-07,SLC,2025-08-07 09:02:00+00:00,B737-800,1.3734939759036144,906,0.46511627906976744,1.0,0.6226806215106515,Medium
UA,2137,2025-08-13,SLC,2025-08-13 09:02:00+00:00,B737-800,0.9819277108433735,17,0.29357798165137616,3.0,0.5573483821724949,Easy
UA,2427,2025-08-05,CVG,2025-08-05 18:10:00+00:00,B737-700,0.8492063492063492,41,0.7166666666666667,1.0,0.6151602172756019,Medium
G7,4482,2025-08-11,TUL,2025-08-11 15:35:00+00:00,CRJ-550,0.82,-65,0.8148148148148148,0.0,0.5748100679252178,Easy
UA,1304,2025-08-05,LAS,2025-08-05 11:29:00+00:00,B737-MAX9,1.111731843575419,-38,0.3359375,3.0,0.6353716016225752,Medium
OO,5250,2025-08-15,BNA,2025-08-15 17:50:00+00:00,ERJ-175,0.9736842105263158,31,0.675,2.0,0.688800444044557,Difficult
UA,2666,2025-08-10,DEN,2025-08-10 05:00:00+00:00,A321-2NX,1.255,453,0.17886178861788618,2.0,0.6248549976226119,Medium
OO,5568,2025-08-02,MLI,2025-08-02 09:07:00+00:00,CRJ-200,0.94,43,0.8225806451612904,2.0,0.6221780323601633,Medium
OO,5849,2025-08-09,PWM,2025-08-09 13:55:00+00:00,ERJ-175,1.1578947368421053,83,0.3333333333333333,3.0,0.6089525406456157,Medium
UA,763,2025-08-12,PWM,2025-08-12 10:58:00+00:00,B737-800,1.3132530120481927,158,0.3883495145631068,4.0,0.6888404212507581,Difficult
YX,3465,2025-08-05,GSP,2025-08-05 17:55:00+00:00,ERJ-175,1.0657894736842106,30,0.5135135135135135,2.0,0.6346116320306604,Medium
UA,476,2025-08-07,CVG,2025-08-07 10:53:00+00:00,A320-200,0.9,20,0.625,4.0,0.6680277663385568,Medium
UA,2254,2025-08-08,PDX,2025-08-08 09:10:00+00:00,A321-2NX,1.255,473,0.59,4.0,0.6311189090295263,Medium
UA,2427,2025-08-15,CVG,2025-08-15 18:10:00+00:00,B737-700,0.6111111111111112,28,0.825,2.0,0.6450681997258155,Medium
UA,1491,2025-08-03,DFW,2025-08-03 10:35:00+00:00,A320-200,1.12,113,0.2079207920792079,5.0,0.6756600407532495,Difficult
YX,3628,2025-08-04,IND,2025-08-04 17:50:00+00:00,ERJ-175,1.0,25,0.39285714285714285,0.0,0.5859246201532442,Easy
UA,2369,2025-08-08,AUS,2025-08-08 08:50:00+00:00,B737-800,1.1325301204819278,20,0.4222222222222222,2.0,0.6076360835385036,Medium
OO,5577,2025-08-11,JAX,2025-08-11 07:00:00+00:00,ERJ-175,1.0526315789473684,611,0.5306122448979592,1.0,0.530268315328785,Easy
UA,422,2025-08-03,ATH,2025-08-03 16:15:00+00:00,B787-10,1.0817610062893082,30,0.5076923076923077,8.0,0.778707772075699,Difficult
UA,1041,2025-08-05,GRR,2025-08-05 15:35:00+00:00,B737-700,0.9920634920634921,14,0.6323529411764706,4.0,0.6705464072545521,Medium
UA,1044,2025-08-15,LAX,2025-08-15 09:05:00+00:00,B757-300,1.1623931623931625,918,0.4966887417218543,4.0,0.6818039334775171,Difficult
UA,944,2025-08-08,FRA,2025-08-08 15:10:00+00:00,B787-10,1.20125786163522,30,0.6347517730496454,5.0,0.6942094705904893,Difficult
UA,1485,2025-08-15,SEA,2025-08-15 13:40:00+00:00,B737-900,1.100558659217877,18,0.49640287769784175,9.0,0.8132707175463244,Difficult
G7,4491,2025-08-01,CAE,2025-08-01 18:30:00+00:00,CRJ-550,0.94,51,0.6571428571428571,3.0,0.6563299198018514,Medium
G7,4173,2025-08-06,AVL,2025-08-06 13:55:00+00:00,CRJ-550,0.88,83,0.5357142857142857,1.0,0.607401654358996,Medium
UA,2008,2025-08-13,MCO,2025-08-13 11:02:00+00:00,B737-800,1.3795180722891567,951,0.49473684210526314,5.0,0.6160882529742038,Medium
OO,5538,2025-08-13,HSV,2025-08-13 18:25:00+00:00,CRJ-550,0.68,47,1.0,0.0,0.5896777107878386,Easy
UA,2424,2025-08-03,RDU,2025-08-03 18:20:00+00:00,B737-MAX9,1.0223463687150838,24,0.6792452830188679,3.0,0.6958464844094718,Difficult
OO,5140,2025-08-01,CMX,2025-08-01 21:05:00+00:00,CRJ-200,1.32,26,0.32608695652173914,2.0,0.6652556562862562,Medium
G7,4425,2025-08-11,GRR,2025-08-11 14:00:00+00:00,CRJ-550,1.04,111,0.6086956521739131,0.0,0.5702097607497343,Easy
UA,1830,2025-08-07,DSM,2025-08-07 13:12:00+00:00,A320-200,1.18,12,0.8214285714285714,0.0,0.6943419955474006,Difficult
G7,4468,2025-08-04,LEX,2025-08-04 21:20:00+00:00,CRJ-550,0.94,40,0.8055555555555556,3.0,0.6732120987516289,Difficult
UA,1811,2025-08-10,MSP,2025-08-10 12:45:00+00:00,B737-MAX8,1.0542168674698795,21,0.49056603773584906,8.0,0.7249014368694556,Difficult
G7,4518,2025-08-08,STL,2025-08-08 16:47:00+00:00,CRJ-550,1.08,15,0.8648648648648649,1.0,0.6517658531690352,Medium
OO,5309,2025-08-11,FWA,2025-08-11 20:05:00+00:00,ERJ-175,0.4473684210526316,-39,0.8947368421052632,1.0,0.5259309653632818,Easy
OO,5469,2025-08-02,CVG,2025-08-02 10:53:00+00:00,ERJ-175,1.0,43,0.7272727272727273,2.0,0.6161281028846566,Medium
YX,3468,2025-08-13,BGR,2025-08-13 11:50:00+00:00,ERJ-170,1.042857142857143,13,0.8421052631578947,1.0,0.6360249533191442,Medium
OO,4748,2025-08-08,ATW,2025-08-08 20:20:00+00:00,CRJ-200,0.74,-29,0.6176470588235294,1.0,0.5573140288428834,Easy
UA,2323,2025-08-06,MCO,2025-08-06 09:15:00+00:00,A321-2NX,1.455,708,0.3853211009174312,2.0,0.6416661162379936,Medium
OO,5819,2025-08-01,DLH,2025-08-01 09:00:00+00:00,CRJ-550,1.2,26,0.7407407407407407,3.0,0.7195158089785323,Difficult
UA,2040,2025-08-04,DEN,2025-08-04 20:10:00+00:00,B737-900,1.0223463687150838,39,0.5104166666666666,1.0,0.6184390491628649,Medium
UA,1599,2025-08-15,DEN,2025-08-15 08:45:00+00:00,B777-2HD,1.1243093922651934,667,0.10121457489878542,5.0,0.6481710426169579,Medium
UA,2370,2025-08-14,BOS,2025-08-14 14:28:00+00:00,B737-900,1.1340782122905029,26,0.4745762711864407,6.0,0.7288305059366403,Difficult
UA,1495,2025-08-09,TVC,2025-08-09 21:10:00+00:00,B737-MAX9,0.6256983240223464,-17,0.4186046511627907,1.0,0.5325803291614633,Easy
UA,2684,2025-08-13,FCA,2025-08-13 08:45:00+00:00,B737-900,1.106145251396648,19,0.5118110236220472,5.0,0.6315506897770169,Medium
OO,5470,2025-08-01,GEG,2025-08-01 08:40:00+00:00,ERJ-175,1.118421052631579,15,0.4423076923076923,2.0,0.6464547728275226,Medium
UA,1776,2025-08-13,PHL,2025-08-13 18:20:00+00:00,B737-800,1.144578313253012,-36,0.6268656716417911,0.0,0.6120245946550511,Medium
UA,1577,2025-08-12,SFO,2025-08-12 14:40:00+00:00,B757-300,1.106837606837607,57,0.21637426900584794,7.0,0.6624597063187061,Medium
UA,1842,2025-08-06,SAN,2025-08-06 20:20:00+00:00,A321-2NX,1.09,23,0.49019607843137253,4.0,0.6816889091661837,Difficult
OO,5946,2025-08-14,RAP,2025-08-14 20:05:00+00:00,ERJ-175,0.9142857142857143,67,0.8163265306122449,0.0,0.652669762038745,Medium
G7,4482,2025-08-07,TUL,2025-08-07 15:35:00+00:00,CRJ-550,0.86,16,0.7272727272727273,1.0,0.6365782743617597,Medium
UA,600,2025-08-11,LAS,2025-08-11 14:40:00+00:00,B737-900,0.6312849162011173,30,0.5116279069767442,5.0,0.5368038137914636,Easy
UA,2040,2025-08-01,DEN,2025-08-01 20:10:00+00:00,B737-900,1.0279329608938548,21,0.7378640776699029,3.0,0.6877170275209126,Difficult
YX,3433,2025-08-10,CVG,2025-08-10 16:35:00+00:00,ERJ-175,0.9078947368421053,80,0.9259259259259259,1.0,0.6729988886310452,Medium
OO,5652,2025-08-13,GEG,2025-08-13 19:38:00+00:00,ERJ-175,1.131578947368421,37,0.6904761904761905,4.0,0.6535813023181283,Medium
OO,5446,2025-08-04,CLE,2025-08-04 15:50:00+00:00,ERJ-175,1.0921052631578947,22,0.2894736842105263,1.0,0.5993378658125906,Medium
UA,534,2025-08-06,EWR,2025-08-06 17:55:00+00:00,A321-2NX,0.69,14,0.13333333333333333,1.0,0.5193136586438222,Easy
UA,2106,2025-08-13,SFO,2025-08-13 21:40:00+00:00,A321-2NX,0.695,13,0.5490196078431373,2.0,0.5414360677388569,Easy
UA,2323,2025-08-07,MCO,2025-08-07 09:15:00+00:00,A321-2NX,1.42,655,0.4444444444444444,4.0,0.686296768181189,Difficult
UA,1612,2025-08-12,MEM,2025-08-12 20:00:00+00:00,B737-700,0.42857142857142855,57,0.7551020408163265,3.0,0.5695517178650787,Easy
YX,3614,2025-08-03,MCI,2025-08-03 21:25:00+00:00,ERJ-175,1.1710526315789473,120,0.78,0.0,0.6687723935339791,Medium
OO,5383,2025-08-13,TVC,2025-08-13 13:55:00+00:00,CRJ-550,1.08,11,0.6363636363636364,3.0,0.6285358314362961,Medium
